  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.752405                     

          First Bias          Second Bias                Steps           Repetition
                 3.5                 -3.5                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
      2.8283  -2.8151e-07
       2.899  -2.9976e-07
      2.9697  -3.1868e-07
      3.0404  -3.3828e-07
      3.1111  -3.5884e-07
      3.1818  -3.8035e-07
      3.2525  -4.0275e-07
      3.3232  -4.2571e-07
      3.3939  -4.4951e-07
      3.4646  -4.4513e-07
      3.4646  -4.4164e-07
      3.3939  -4.3726e-07
      3.3232  -4.3292e-07
      3.2525  -4.2796e-07
      3.1818  -4.2255e-07
      3.1111  -4.1754e-07
      3.0404   -4.128e-07
      2.9697  -4.0834e-07
       2.899  -4.0403e-07
      2.8283  -3.9985e-07
      2.7576   -3.958e-07
      2.6869  -3.9179e-07
      2.6162  -3.8782e-07
      2.5455   -3.839e-07
      2.4747     -3.8e-07
       2.404  -3.7613e-07
      2.3333  -3.7226e-07
      2.2626  -3.6843e-07
      2.1919  -3.6463e-07
      2.1212  -3.6084e-07
      2.0505  -3.5705e-07
      1.9798  -3.5329e-07
      1.9091  -3.4958e-07
      1.8384  -3.4591e-07
      1.7677  -3.4231e-07
       1.697   -3.388e-07
      1.6263  -3.3539e-07
      1.5556  -3.3214e-07
      1.4848  -3.2907e-07
      1.4141  -3.2623e-07
      1.3434  -3.2364e-07
      1.2727  -3.2134e-07
       1.202  -3.1936e-07
      1.1313  -3.1769e-07
      1.0606  -3.1634e-07
      0.9899  -3.1528e-07
     0.91919  -3.1444e-07
     0.84848  -3.1381e-07
     0.77778  -3.1332e-07
     0.70707  -3.1295e-07
     0.63636  -3.1269e-07
     0.56566   -3.125e-07
     0.49495  -3.1235e-07
     0.42424  -3.1225e-07
     0.35354  -3.1219e-07
     0.28283  -3.1215e-07
     0.21212  -3.1212e-07
     0.14141   -3.121e-07
    0.070707  -3.1208e-07
           0  -3.1208e-07
   -0.070707  -3.1212e-07
    -0.14141  -3.1216e-07
    -0.21212  -3.1222e-07
    -0.28283   -3.123e-07
    -0.35354  -3.1244e-07
    -0.42424  -3.1262e-07
    -0.49495  -3.1287e-07
    -0.56566   -3.132e-07
    -0.63636  -3.1362e-07
    -0.70707  -3.1413e-07
    -0.77778  -3.1477e-07
    -0.84848  -3.1554e-07
    -0.91919  -3.1646e-07
     -0.9899  -3.1757e-07
     -1.0606  -3.1887e-07
     -1.1313   -3.204e-07
      -1.202  -3.2221e-07
     -1.2727  -3.2432e-07
     -1.3434  -3.2676e-07
     -1.4141  -3.2957e-07
     -1.4848  -3.3277e-07
     -1.5556  -3.3643e-07
     -1.6263  -3.4052e-07
      -1.697  -3.4513e-07
     -1.7677  -3.5047e-07
     -1.8384  -3.5647e-07
     -1.9091  -3.6334e-07
     -1.9798  -3.7139e-07
     -2.0505  -3.8169e-07
     -2.1212  -3.9319e-07
     -2.1919  -4.0549e-07
     -2.2626  -4.1813e-07
     -2.3333  -4.3019e-07
      -2.404  -4.3786e-07
     -2.4747  -4.4499e-07
     -2.5455  -4.5207e-07
     -2.6162  -4.5899e-07
     -2.6869  -4.6604e-07
     -2.7576  -4.7324e-07
     -2.8283  -4.8053e-07
      -2.899  -4.8686e-07
     -2.9697  -4.9125e-07
     -3.0404  -4.9374e-07
     -3.1111  -4.9711e-07
     -3.1818  -4.9955e-07
     -3.2525  -5.0088e-07
     -3.3232  -5.0225e-07
     -3.3939   -5.036e-07
     -3.4646  -5.0384e-07
     -3.4646  -5.0383e-07
     -3.3939  -5.0384e-07
     -3.3232  -5.0393e-07
     -3.2525  -5.0397e-07
     -3.1818  -5.0404e-07
     -3.1111  -5.0405e-07
     -3.0404  -5.0404e-07
     -2.9697  -5.0408e-07
      -2.899   -5.041e-07
     -2.8283  -5.0412e-07
     -2.7576  -5.0414e-07
     -2.6869  -5.0416e-07
     -2.6162  -5.0417e-07
     -2.5455  -5.0417e-07
     -2.4747  -5.0419e-07
      -2.404  -5.0419e-07
     -2.3333   -5.042e-07
     -2.2626  -5.0421e-07
     -2.1919  -5.0422e-07
     -2.1212  -5.0422e-07
     -2.0505  -5.0422e-07
     -1.9798  -5.0422e-07
     -1.9091  -5.0422e-07
     -1.8384  -5.0423e-07
     -1.7677  -5.0423e-07
      -1.697  -5.0423e-07
     -1.6263  -5.0423e-07
     -1.5556  -5.0424e-07
     -1.4848  -5.0425e-07
     -1.4141  -5.0425e-07
     -1.3434  -5.0425e-07
     -1.2727  -5.0426e-07
      -1.202  -5.0427e-07
     -1.1313  -5.0427e-07
     -1.0606  -5.0427e-07
     -0.9899  -5.0428e-07
    -0.91919  -5.0428e-07
    -0.84848  -5.0427e-07
    -0.77778  -5.0428e-07
    -0.70707  -5.0428e-07
    -0.63636  -5.0429e-07
    -0.56566  -5.0428e-07
    -0.49495  -5.0428e-07
    -0.42424  -5.0428e-07
    -0.35354  -5.0428e-07
    -0.28283  -5.0428e-07
    -0.21212  -5.0428e-07
    -0.14141  -5.0428e-07
   -0.070707  -5.0427e-07




